entry_id,mode,setup,base_lang,phrase_lang,n_phrases,quality_tier,audio_s,mWER,eWER,MER,mWER_unit,eWER_unit,matrix_units,embedded_units,LA_segment_per_wav,LID_conf_per_wav,SIM_whole,SIM_matrix,SIM_embedded_per_wav,success
syncs_J_to_E_39,moss_tts_v15,J_to_E,ja,en,5,S,35.92,0.5858585858585859,0.0,0.4233576642335766,CER,WER,99,38,0.8,0.3933630421757698,0.9754632711410522,0.9772076606750488,0.9671953439712524,True
syncs_J_to_E_43,moss_tts_v15,J_to_E,ja,en,5,A,42.8,1.1592920353982301,0.09999999999999999,0.9087837837837838,CER,WER,113,35,0.6,0.11879368275403976,0.9782220721244812,0.9746292233467102,0.9597089052200317,True
syncs_J_to_E_47,moss_tts_v15,J_to_E,ja,en,4,S,42.4,0.3142857142857143,0.0,0.24812030075187969,CER,WER,105,28,0.5,0.15996473468840122,0.972374439239502,0.9686866402626038,0.9857599288225174,True
syncs_J_to_E_51,moss_tts_v15,J_to_E,ja,en,3,S,32.8,0.4049586776859504,0.047619047619047616,0.352112676056338,CER,WER,121,21,0.3333333333333333,0.1171048041433096,0.9588686227798462,0.9597529172897339,0.9622561732927958,True
syncs_J_to_E_55,moss_tts_v15,J_to_E,ja,en,5,S,51.92,0.6836734693877551,0.02222222222222222,0.48195429472025214,CER,WER,98,43,0.4,0.1362804092466831,0.9750604629516602,0.9706465601921082,0.9607713699340821,True
syncs_J_to_E_59,moss_tts_v15,J_to_E,ja,en,4,S,48.88,0.4791666666666667,0.09166666666666667,0.4218441814595661,CER,WER,144,25,0.5,0.44972768798470497,0.9297470450401306,0.9252496361732483,0.9479625970125198,True
syncs_J_to_E_63,moss_tts_v15,J_to_E,ja,en,3,S,46.24,0.4934210526315789,0.047619047619047616,0.446218487394958,CER,WER,152,18,1.0,0.4851730354130268,0.9551664590835571,0.9601134061813354,0.9658917983373007,True
syncs_J_to_E_67,moss_tts_v15,J_to_E,ja,en,3,S,36.48,0.3584905660377358,0.0,0.30158730158730157,CER,WER,106,20,0.6666666666666666,0.20032368352015814,0.9609270095825195,0.9635932445526123,0.9544157981872559,True
syncs_J_to_E_71,moss_tts_v15,J_to_E,ja,en,3,S,29.84,0.011363636363636364,0.0,0.00909090909090909,CER,WER,88,22,1.0,0.6007652382055918,0.9695234298706055,0.9662330150604248,0.9664283990859985,True
syncs_J_to_E_75,moss_tts_v15,J_to_E,ja,en,4,S,41.68,1.1956521739130435,0.0625,0.9100609756097561,CER,WER,92,31,0.0,0.08991358941420913,0.9670200943946838,0.9629052877426147,0.941163957118988,True
syncs_J_to_E_79,moss_tts_v15,J_to_E,ja,en,4,S,32.64,1.2475247524752475,0.041666666666666664,0.978525641025641,CER,WER,101,29,0.5,0.3107174336910248,0.9773449897766113,0.9670994877815247,0.9781927168369293,True
syncs_J_to_E_83,moss_tts_v15,J_to_E,ja,en,5,S,44.8,1.1196581196581197,0.03333333333333333,0.8695175438596491,CER,WER,117,35,0.4,0.35263085588812826,0.9696270823478699,0.9651066064834595,0.9600824594497681,True
syncs_J_to_E_87,moss_tts_v15,J_to_E,ja,en,3,S,24.48,0.4482758620689655,0.047619047619047616,0.3795918367346938,CER,WER,87,18,1.0,0.676297108332316,0.9695144295692444,0.9697609543800354,0.9491747419039408,True
syncs_J_to_E_91,moss_tts_v15,J_to_E,ja,en,4,S,43.12,0.7716535433070866,0.0,0.6405228758169934,CER,WER,127,26,1.0,0.8806441575288773,0.9644197821617126,0.9703464508056641,0.9637237042188644,True
syncs_J_to_E_95,moss_tts_v15,J_to_E,ja,en,4,S,40.64,0.3769230769230769,0.0,0.30625,CER,WER,130,30,0.5,0.25969244888983667,0.9705044031143188,0.9677363634109497,0.9727015793323517,True
syncs_J_to_E_99,moss_tts_v15,J_to_E,ja,en,4,A,34.88,0.5052631578947369,0.08333333333333333,0.4173611111111111,CER,WER,95,25,0.75,0.36587284319102764,0.9467787742614746,0.952911913394928,0.9436163008213043,True
syncs_DE_to_KO_3,moss_tts_v15,DE_to_KO,de,ko,3,,25.92,0.44680851063829785,2.1329966329966332,1.3709693084693084,WER,CER,47,57,0.0,0.04107397977107515,0.9821575284004211,0.982843816280365,0.9743563334147135,True
syncs_DE_to_KO_7,moss_tts_v15,DE_to_KO,de,ko,4,,35.84,0.4426229508196721,0.6512626262626263,0.5597013298452148,WER,CER,61,78,0.0,0.05573313124477863,0.9727564454078674,0.9765511751174927,0.9615043699741364,True
syncs_DE_to_KO_11,moss_tts_v15,DE_to_KO,de,ko,4,,33.2,0.7804878048780488,0.0625,0.3078125,WER,CER,41,79,1.0,0.9979972243309021,0.9626398086547852,0.9753109216690063,0.9592664837837219,True
syncs_DE_to_KO_15,moss_tts_v15,DE_to_KO,de,ko,3,,24.56,0.5348837209302325,0.5230936819172113,0.5282668623004757,WER,CER,43,55,0.0,0.03429520161201557,0.9894352555274963,0.9849190711975098,0.9676744143168131,True
syncs_DE_to_KO_19,moss_tts_v15,DE_to_KO,de,ko,3,,40.0,0.4482758620689655,0.7858722976370035,0.6170740798529845,WER,CER,58,58,0.0,0.01354392571374774,0.9794174432754517,0.9849444627761841,0.9581954081853231,True
syncs_DE_to_KO_23,moss_tts_v15,DE_to_KO,de,ko,4,,34.24,0.6,0.6349586086428192,0.6199373314916078,WER,CER,55,73,0.0,0.012597719905897975,0.9618496298789978,0.9593727588653564,0.9477328807115555,True
syncs_DE_to_KO_27,moss_tts_v15,DE_to_KO,de,ko,3,,27.92,0.44,0.4661594202898551,0.45468599033816426,WER,CER,50,64,0.0,0.00968766367683808,0.9844039678573608,0.9832471013069153,0.9548690517743429,True
syncs_DE_to_KO_31,moss_tts_v15,DE_to_KO,de,ko,4,,41.52,0.625,0.46057841614906836,0.5282814212641579,WER,CER,56,80,0.0,0.11631429009139538,0.9896408319473267,0.9850640296936035,0.9725110828876495,True
syncs_DE_to_KO_35,moss_tts_v15,DE_to_KO,de,ko,4,,28.88,0.4222222222222222,0.23280336257309941,0.3082356518139005,WER,CER,45,68,0.0,0.01060011563822627,0.9663485884666443,0.9740695953369141,0.920425072312355,True
